,fight,count,percentage
233,Montreal Canadiens x New Jersey Devils,15,0.1453206742879287
234,Minnesota Wild x Ottawa Senators,15,0.1453206742879287
235,Buffalo Sabres x Los Angeles Kings,15,0.1453206742879287
236,Boston Bruins x St. Louis Blues,15,0.1453206742879287
237,Edmonton Oilers x New York Rangers,15,0.1453206742879287
238,Detroit Red Wings x San Jose Sharks,15,0.1453206742879287
239,Anaheim Ducks x New Jersey Devils,15,0.1453206742879287
240,Nashville Predators x Philadelphia Flyers,14,0.13563262933540013
241,Anaheim Ducks x Boston Bruins,14,0.13563262933540013
242,Chicago Blackhawks x Tampa Bay Lightning,14,0.13563262933540013
243,Boston Bruins x Calgary Flames,14,0.13563262933540013
244,Anaheim Ducks x Ottawa Senators,14,0.13563262933540013
245,Minnesota Wild x Montreal Canadiens,14,0.13563262933540013
246,Columbus Blue Jackets x New Jersey Devils,14,0.13563262933540013
247,Pittsburgh Penguins x San Jose Sharks,14,0.13563262933540013
248,Colorado Avalanche x New Jersey Devils,14,0.13563262933540013
249,Philadelphia Flyers x St. Louis Blues,14,0.13563262933540013
250,Edmonton Oilers x New York Islanders,14,0.13563262933540013
251,Colorado Avalanche x Washington Capitals,14,0.13563262933540013
252,Calgary Flames x Florida Panthers,14,0.13563262933540013
253,Edmonton Oilers x New Jersey Devils,14,0.13563262933540013
254,Boston Bruins x Winnipeg Jets,14,0.13563262933540013
255,Edmonton Oilers x Winnipeg Jets,14,0.13563262933540013
256,Detroit Red Wings x Los Angeles Kings,14,0.13563262933540013
257,Boston Bruins x Colorado Avalanche,13,0.12594458438287154
258,Buffalo Sabres x Columbus Blue Jackets,13,0.12594458438287154
259,Nashville Predators x Washington Capitals,13,0.12594458438287154
260,Los Angeles Kings x Washington Capitals,13,0.12594458438287154
261,Carolina Hurricanes x Montreal Canadiens,13,0.12594458438287154
262,Colorado Avalanche x Detroit Red Wings,13,0.12594458438287154
263,Dallas Stars x Winnipeg Jets,13,0.12594458438287154
264,Los Angeles Kings x Tampa Bay Lightning,13,0.12594458438287154
265,Ottawa Senators x Winnipeg Jets,13,0.12594458438287154
266,Tampa Bay Lightning x Winnipeg Jets,13,0.12594458438287154
267,Florida Panthers x Minnesota Wild,13,0.12594458438287154
268,Detroit Red Wings x Florida Panthers,13,0.12594458438287154
269,Chicago Blackhawks x New York Rangers,13,0.12594458438287154
270,Philadelphia Flyers x Vancouver Canucks,13,0.12594458438287154
271,Dallas Stars x Tampa Bay Lightning,13,0.12594458438287154
272,Ottawa Senators x St. Louis Blues,13,0.12594458438287154
273,Calgary Flames x Philadelphia Flyers,13,0.12594458438287154
274,New York Rangers x St. Louis Blues,13,0.12594458438287154
275,San Jose Sharks x Toronto Maple Leafs,13,0.12594458438287154
276,Columbus Blue Jackets x Montreal Canadiens,13,0.12594458438287154
277,Pittsburgh Penguins x Winnipeg Jets,12,0.11625653943034295
278,Dallas Stars x Washington Capitals,12,0.11625653943034295
